Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2000-01-01,2000-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2000,2000,,28.335622,X,base year is 2015
IDN,2001-01-01,2001-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2001,2001,,28.574027,X,base year is 2015
IDN,2002-01-01,2002-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2002,2002,,32.964682,X,base year is 2015
IDN,2003-01-01,2003-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2003,2003,,34.449753,X,base year is 2015
IDN,2004-01-01,2004-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2004,2004,,35.045777,X,base year is 2015
IDN,2005-01-01,2005-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2005,2005,,37.911621,X,base year is 2015
IDN,2006-01-01,2006-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2006,2006,,43.678080,X,base year is 2015
IDN,2007-01-01,2007-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2007,2007,,48.565415,X,base year is 2015
IDN,2008-01-01,2008-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2008,2008,,54.078576,X,base year is 2015
IDN,2009-01-01,2009-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2009,2009,,61.404602,X,base year is 2015
IDN,2010-01-01,2010-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2010,2010,,64.399591,X,base year is 2015
IDN,2011-01-01,2011-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2011,2011,,74.819950,X,base year is 2015
IDN,2012-01-01,2012-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2012,2012,,77.278519,X,base year is 2015
IDN,2013-01-01,2013-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2013,2013,,82.614628,X,base year is 2015
IDN,2014-01-01,2014-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2014,2014,,92.053621,X,base year is 2015
IDN,2015-01-01,2015-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2015,2015,,99.640759,X,base year is 2015
IDN,2016-01-01,2016-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2016,2016,,106.212110,X,base year is 2015
IDN,2017-01-01,2017-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2017,2017,,110.572175,X,base year is 2015
IDN,2018-01-01,2018-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2018,2018,,113.830503,X,base year is 2015
IDN,2019-01-01,2019-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2019,2019,,116.112114,X,base year is 2015
IDN,2020-01-01,2020-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2020,2020,,120.924317,X,base year is 2015
IDN,2021-01-01,2021-01-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,2021,2021,,124.349935,X,base year is 2015
IDN,2000-02-01,2000-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2000,2000,,28.241256,X,base year is 2015
IDN,2001-02-01,2001-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2001,2001,,29.016073,X,base year is 2015
IDN,2002-02-01,2002-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2002,2002,,33.958042,X,base year is 2015
IDN,2003-02-01,2003-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2003,2003,,34.186516,X,base year is 2015
IDN,2004-02-01,2004-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2004,2004,,34.549097,X,base year is 2015
IDN,2005-02-01,2005-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2005,2005,,37.355338,X,base year is 2015
IDN,2006-02-01,2006-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2006,2006,,44.194630,X,base year is 2015
IDN,2007-02-01,2007-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2007,2007,,48.977660,X,base year is 2015
IDN,2008-02-01,2008-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2008,2008,,54.942791,X,base year is 2015
IDN,2009-02-01,2009-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2009,2009,,61.985725,X,base year is 2015
IDN,2010-02-01,2010-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2010,2010,,64.955867,X,base year is 2015
IDN,2011-02-01,2011-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2011,2011,,74.571606,X,base year is 2015
IDN,2012-02-01,2012-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2012,2012,,76.712304,X,base year is 2015
IDN,2013-02-01,2013-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2013,2013,,84.271140,X,base year is 2015
IDN,2014-02-01,2014-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2014,2014,,92.381798,X,base year is 2015
IDN,2015-02-01,2015-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2015,2015,,98.179590,X,base year is 2015
IDN,2016-02-01,2016-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2016,2016,,105.594825,X,base year is 2015
IDN,2017-02-01,2017-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2017,2017,,110.228371,X,base year is 2015
IDN,2018-02-01,2018-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2018,2018,,113.978964,X,base year is 2015
IDN,2019-02-01,2019-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2019,2019,,114.783779,X,base year is 2015
IDN,2020-02-01,2020-02-29,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2020,2020,,122.066190,X,base year is 2015
IDN,2021-02-01,2021-02-28,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,2021,2021,,124.464123,X,base year is 2015
IDN,2000-03-01,2000-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2000,2000,,27.595567,X,base year is 2015
IDN,2001-03-01,2001-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2001,2001,,29.289249,X,base year is 2015
IDN,2002-03-01,2002-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2002,2002,,33.029255,X,base year is 2015
IDN,2003-03-01,2003-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2003,2003,,33.461362,X,base year is 2015
IDN,2004-03-01,2004-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2004,2004,,34.583860,X,base year is 2015
IDN,2005-03-01,2005-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2005,2005,,37.400040,X,base year is 2015
IDN,2006-03-01,2006-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2006,2006,,43.807217,X,base year is 2015
IDN,2007-03-01,2007-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2007,2007,,49.052164,X,base year is 2015
IDN,2008-03-01,2008-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2008,2008,,55.732517,X,base year is 2015
IDN,2009-03-01,2009-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2009,2009,,61.821824,X,base year is 2015
IDN,2010-03-01,2010-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2010,2010,,64.364820,X,base year is 2015
IDN,2011-03-01,2011-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2011,2011,,73.121299,X,base year is 2015
IDN,2012-03-01,2012-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2012,2012,,76.458991,X,base year is 2015
IDN,2013-03-01,2013-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2013,2013,,85.685427,X,base year is 2015
IDN,2014-03-01,2014-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2014,2014,,91.975484,X,base year is 2015
IDN,2015-03-01,2015-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2015,2015,,97.460726,X,base year is 2015
IDN,2016-03-01,2016-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2016,2016,,106.321503,X,base year is 2015
IDN,2017-03-01,2017-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2017,2017,,109.501693,X,base year is 2015
IDN,2018-03-01,2018-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2018,2018,,114.143052,X,base year is 2015
IDN,2019-03-01,2019-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2019,2019,,113.533581,X,base year is 2015
IDN,2020-03-01,2020-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2020,2020,,120.467568,X,base year is 2015
IDN,2021-03-01,2021-03-31,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,2021,2021,,124.920872,X,base year is 2015
IDN,2000-04-01,2000-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2000,2000,,27.153521,X,base year is 2015
IDN,2001-04-01,2001-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2001,2001,,29.001173,X,base year is 2015
IDN,2002-04-01,2002-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2002,2002,,32.398468,X,base year is 2015
IDN,2003-04-01,2003-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2003,2003,,33.163354,X,base year is 2015
IDN,2004-04-01,2004-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2004,2004,,35.214647,X,base year is 2015
IDN,2005-04-01,2005-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2005,2005,,37.320574,X,base year is 2015
IDN,2006-04-01,2006-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2006,2006,,43.434705,X,base year is 2015
IDN,2007-04-01,2007-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2007,2007,,48.416415,X,base year is 2015
IDN,2008-04-01,2008-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2008,2008,,56.035487,X,base year is 2015
IDN,2009-04-01,2009-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2009,2009,,60.997327,X,base year is 2015
IDN,2010-04-01,2010-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2010,2010,,64.578393,X,base year is 2015
IDN,2011-04-01,2011-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2011,2011,,71.730595,X,base year is 2015
IDN,2012-04-01,2012-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2012,2012,,76.553357,X,base year is 2015
IDN,2013-04-01,2013-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2013,2013,,85.216602,X,base year is 2015
IDN,2014-04-01,2014-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2014,2014,,90.975326,X,base year is 2015
IDN,2015-04-01,2015-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2015,2015,,96.694980,X,base year is 2015
IDN,2016-04-01,2016-04-30,101,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,2016,2016,,105.321345,X,base year is 2015
