Iso3,Item Code,Year,Value
#country+code,#indicator+code,#date+year,#indicator+value+num
IDN,23013,2000,28.335622
IDN,23013,2001,28.574027
IDN,23013,2002,32.964682
IDN,23013,2003,34.449753
IDN,23013,2004,35.045777
IDN,23013,2005,37.911621
IDN,23013,2006,43.678080
IDN,23013,2007,48.565415
IDN,23013,2008,54.078576
IDN,23013,2009,61.404602
IDN,23013,2010,64.399591
IDN,23013,2011,74.819950
IDN,23013,2012,77.278519
IDN,23013,2013,82.614628
IDN,23013,2014,92.053621
IDN,23013,2015,99.640759
IDN,23013,2016,106.212110
IDN,23013,2017,110.572175
IDN,23013,2018,113.830503
IDN,23013,2019,116.112114
IDN,23013,2020,120.924317
IDN,23013,2021,124.349935
IDN,23013,2000,28.241256
IDN,23013,2001,29.016073
IDN,23013,2002,33.958042
IDN,23013,2003,34.186516
IDN,23013,2004,34.549097
IDN,23013,2005,37.355338
IDN,23013,2006,44.194630
IDN,23013,2007,48.977660
IDN,23013,2008,54.942791
IDN,23013,2009,61.985725
IDN,23013,2010,64.955867
IDN,23013,2011,74.571606
IDN,23013,2012,76.712304
IDN,23013,2013,84.271140
IDN,23013,2014,92.381798
IDN,23013,2015,98.179590
IDN,23013,2016,105.594825
IDN,23013,2017,110.228371
IDN,23013,2018,113.978964
IDN,23013,2019,114.783779
IDN,23013,2020,122.066190
IDN,23013,2021,124.464123
IDN,23013,2000,27.595567
IDN,23013,2001,29.289249
IDN,23013,2002,33.029255
IDN,23013,2003,33.461362
IDN,23013,2004,34.583860
IDN,23013,2005,37.400040
IDN,23013,2006,43.807217
IDN,23013,2007,49.052164
IDN,23013,2008,55.732517
IDN,23013,2009,61.821824
IDN,23013,2010,64.364820
IDN,23013,2011,73.121299
IDN,23013,2012,76.458991
IDN,23013,2013,85.685427
IDN,23013,2014,91.975484
IDN,23013,2015,97.460726
IDN,23013,2016,106.321503
IDN,23013,2017,109.501693
IDN,23013,2018,114.143052
IDN,23013,2019,113.533581
IDN,23013,2020,120.467568
IDN,23013,2021,124.920872
IDN,23013,2000,27.153521
IDN,23013,2001,29.001173
IDN,23013,2002,32.398468
IDN,23013,2003,33.163354
IDN,23013,2004,35.214647
IDN,23013,2005,37.320574
IDN,23013,2006,43.434705
IDN,23013,2007,48.416415
IDN,23013,2008,56.035487
IDN,23013,2009,60.997327
IDN,23013,2010,64.578393
IDN,23013,2011,71.730595
IDN,23013,2012,76.553357
IDN,23013,2013,85.216602
IDN,23013,2014,90.975326
IDN,23013,2015,96.694980
IDN,23013,2016,105.321345
IDN,23013,2017,108.267123
IDN,23013,2018,113.846130
IDN,23013,2019,113.767993
IDN,23013,2020,122.294565
IDN,23013,2000,27.148559
IDN,23013,2001,29.438250
IDN,23013,2002,32.567338
IDN,23013,2003,33.128583
IDN,23013,2004,35.413320
IDN,23013,2005,37.370238
IDN,23013,2006,43.558873
IDN,23013,2007,48.227674
IDN,23013,2008,56.999046
IDN,23013,2009,60.843357
IDN,23013,2010,64.896264
IDN,23013,2011,71.526953
IDN,23013,2012,76.439128
IDN,23013,2013,84.716523
IDN,23013,2014,90.842492
IDN,23013,2015,98.038943
IDN,23013,2016,105.633894
IDN,23013,2017,109.196957
IDN,23013,2018,114.080542
IDN,23013,2019,114.393092
IDN,23013,2020,121.952003
IDN,23013,2000,27.188292
IDN,23013,2001,29.835594
IDN,23013,2002,32.468002
IDN,23013,2003,32.865346
IDN,23013,2004,35.741129
IDN,23013,2005,37.643414
IDN,23013,2006,44.040653
IDN,23013,2007,48.456148
IDN,23013,2008,57.833475
IDN,23013,2009,60.734090
IDN,23013,2010,66.972397
IDN,23013,2011,72.435878
IDN,23013,2012,77.641092
IDN,23013,2013,85.826074
IDN,23013,2014,91.741072
IDN,23013,2015,99.609504
IDN,23013,2016,107.345102
IDN,23013,2017,109.954890
IDN,23013,2018,115.088514
IDN,23013,2019,115.096328
IDN,23013,2020,122.522939
IDN,23013,2000,27.734636
IDN,23013,2001,30.322342
IDN,23013,2002,32.433239
IDN,23013,2003,32.631903
IDN,23013,2004,35.910000
IDN,23013,2005,38.418232
IDN,23013,2006,46.802199
IDN,23013,2007,49.111767
IDN,23013,2008,58.901339
IDN,23013,2009,61.429442
IDN,23013,2010,70.116378
IDN,23013,2011,73.766987
IDN,23013,2012,78.942407
IDN,23013,2013,90.608080
IDN,23013,2014,93.522604
IDN,23013,2015,101.625448
IDN,23013,2016,108.548417
IDN,23013,2017,110.181488
IDN,23013,2018,116.073045
IDN,23013,2019,115.330740
IDN,23013,2020,121.609441
IDN,23013,2000,27.213124
IDN,23013,2001,29.612090
IDN,23013,2002,32.269330
IDN,23013,2003,32.597140
IDN,23013,2004,35.145113
IDN,23013,2005,38.477835
IDN,23013,2006,44.328730
IDN,23013,2007,49.499172
IDN,23013,2008,59.452653
IDN,23013,2009,62.224130
IDN,23013,2010,70.444188
IDN,23013,2011,74.556706
IDN,23013,2012,80.109623
IDN,23013,2013,92.218647
IDN,23013,2014,93.858594
IDN,23013,2015,102.547468
IDN,23013,2016,107.813926
IDN,23013,2017,109.439183
IDN,23013,2018,114.799406
IDN,23013,2019,115.643290
IDN,23013,2020,120.581756
IDN,23013,2000,26.562474
IDN,23013,2001,29.393547
IDN,23013,2002,32.368666
IDN,23013,2003,32.468002
IDN,23013,2004,34.648433
IDN,23013,2005,40.067212
IDN,23013,2006,44.601906
IDN,23013,2007,50.393204
IDN,23013,2008,60.580120
IDN,23013,2009,63.734041
IDN,23013,2010,70.757097
IDN,23013,2011,74.487171
IDN,23013,2012,79.369506
IDN,23013,2013,89.592294
IDN,23013,2014,93.702319
IDN,23013,2015,101.445732
IDN,23013,2016,107.735789
IDN,23013,2017,108.860967
IDN,23013,2018,112.908482
IDN,23013,2019,115.955839
IDN,23013,2020,120.125006
IDN,23013,2000,26.627039
IDN,23013,2001,29.736258
IDN,23013,2002,32.532575
IDN,23013,2003,33.064018
IDN,23013,2004,35.115311
IDN,23013,2005,41.428115
IDN,23013,2006,45.570434
IDN,23013,2007,51.331923
IDN,23013,2008,61.007258
IDN,23013,2009,63.912842
IDN,23013,2010,70.156119
IDN,23013,2011,74.228896
IDN,23013,2012,79.031796
IDN,23013,2013,89.303186
IDN,23013,2014,93.936732
IDN,23013,2015,100.375250
IDN,23013,2016,107.509191
IDN,23013,2017,108.368701
IDN,23013,2018,113.142894
IDN,23013,2019,116.502800
IDN,23013,2020,120.467568
IDN,23013,2000,27.242926
IDN,23013,2001,31.166703
IDN,23013,2002,34.186516
IDN,23013,2003,33.888508
IDN,23013,2004,35.910000
IDN,23013,2005,42.451276
IDN,23013,2006,45.868442
IDN,23013,2007,51.351793
IDN,23013,2008,60.599983
IDN,23013,2009,63.386361
IDN,23013,2010,71.204113
IDN,23013,2011,74.665973
IDN,23013,2012,78.927483
IDN,23013,2013,88.873431
IDN,23013,2014,95.952675
IDN,23013,2015,100.711240
IDN,23013,2016,109.298536
IDN,23013,2017,108.767202
IDN,23013,2018,113.377306
IDN,23013,2019,116.815350
IDN,23013,2020,121.495254
IDN,23013,2000,28.628661
IDN,23013,2001,32.075628
IDN,23013,2002,34.981204
IDN,23013,2003,34.549097
IDN,23013,2004,36.769253
IDN,23013,2005,41.880100
IDN,23013,2006,47.298879
IDN,23013,2007,52.623299
IDN,23013,2008,60.942693
IDN,23013,2009,63.306887
IDN,23013,2010,73.205734
IDN,23013,2011,75.872914
IDN,23013,2012,80.184088
IDN,23013,2013,89.576667
IDN,23013,2014,99.046915
IDN,23013,2015,103.930500
IDN,23013,2016,109.845498
IDN,23013,2017,111.228529
IDN,23013,2018,115.018191
IDN,23013,2019,117.127899
IDN,23013,2020,123.322250
IDN,23012,2000,32.453700
IDN,23012,2001,35.140470
IDN,23012,2002,40.257830
IDN,23012,2003,43.744380
IDN,23012,2004,45.862560
IDN,23012,2005,49.180410
IDN,23012,2006,57.571880
IDN,23012,2007,61.177150
IDN,23012,2008,65.682180
IDN,23012,2009,71.093220
IDN,23012,2010,73.736240
IDN,23012,2011,78.909840
IDN,23012,2012,81.790310
IDN,23012,2013,85.167400
IDN,23012,2014,92.167800
IDN,23012,2015,98.578610
IDN,23012,2016,102.655900
IDN,23012,2017,106.243300
IDN,23012,2018,109.697900
IDN,23012,2019,112.795300
IDN,23012,2020,115.818000
IDN,23012,2021,117.617800
IDN,23012,2000,32.478690
IDN,23012,2001,35.440380
IDN,23012,2002,40.713950
IDN,23012,2003,43.825610
IDN,23012,2004,45.818820
IDN,23012,2005,49.099180
IDN,23012,2006,57.909290
IDN,23012,2007,61.558300
IDN,23012,2008,66.113310
IDN,23012,2009,71.243170
IDN,23012,2010,73.967430
IDN,23012,2011,79.016070
IDN,23012,2012,81.827800
IDN,23012,2013,85.765300
IDN,23012,2014,92.408620
IDN,23012,2015,98.221530
IDN,23012,2016,102.564600
IDN,23012,2017,106.492500
IDN,23012,2018,109.880600
IDN,23012,2019,112.704000
